Timestamp,CPU Usage (%),RAM Usage (%),GPU Usage (%),VRAM Usage (%),GPU Power (W)
2025-08-15 10:39:58.329,4.10,9.50,90.00,61.93,265.16
2025-08-15 10:39:59.332,4.10,9.50,90.00,61.93,223.89
2025-08-15 10:40:00.344,4.10,9.50,89.00,61.93,252.53
2025-08-15 10:40:01.348,4.00,9.50,90.00,61.93,249.98
2025-08-15 10:40:02.355,4.30,9.50,90.00,61.93,227.84
2025-08-15 10:40:03.358,4.00,9.50,90.00,61.93,247.31
2025-08-15 10:40:04.363,4.00,9.50,91.00,61.93,235.90
2025-08-15 10:40:05.369,4.20,9.50,90.00,61.93,233.72
2025-08-15 10:40:06.379,3.90,9.40,90.00,61.93,242.10
2025-08-15 10:40:07.390,4.10,9.40,91.00,61.93,234.17
2025-08-15 10:40:08.396,4.00,9.40,90.00,61.93,259.08
2025-08-15 10:40:09.428,4.10,9.40,90.00,61.93,232.09
2025-08-15 10:40:10.458,4.00,9.40,90.00,61.93,231.58
2025-08-15 10:40:11.466,4.00,9.40,91.00,61.93,216.31
2025-08-15 10:40:12.475,3.30,9.50,100.00,61.93,244.03
2025-08-15 10:40:13.489,4.00,9.50,100.00,61.93,253.61
2025-08-15 10:40:14.508,3.80,9.40,90.00,61.93,260.38
2025-08-15 10:40:15.513,4.20,9.40,90.00,61.93,227.71
2025-08-15 10:40:16.519,3.90,9.40,90.00,61.93,255.99
2025-08-15 10:40:17.522,4.20,9.40,77.00,61.93,232.68
2025-08-15 10:40:18.528,4.10,9.40,90.00,61.93,260.00
2025-08-15 10:40:19.532,4.00,9.40,90.00,61.93,251.65
2025-08-15 10:40:20.535,4.40,9.50,91.00,61.93,121.53
2025-08-15 10:40:21.551,3.90,9.50,87.00,61.93,246.38
2025-08-15 10:40:22.572,3.80,9.50,100.00,61.93,246.38
2025-08-15 10:40:23.584,3.30,9.50,92.00,61.93,223.63
2025-08-15 10:40:24.592,3.20,9.50,93.00,61.93,222.86
2025-08-15 10:40:25.594,3.20,9.50,84.00,61.93,143.02
2025-08-15 10:40:26.597,3.20,9.50,89.00,61.93,221.22
2025-08-15 10:40:27.600,3.20,9.50,89.00,61.93,222.26
2025-08-15 10:40:28.602,3.30,9.50,89.00,61.93,219.79
2025-08-15 10:40:29.605,3.30,9.50,91.00,61.93,223.66
2025-08-15 10:40:30.608,3.20,9.50,92.00,61.93,223.07
2025-08-15 10:40:31.611,3.10,9.50,93.00,61.93,223.05
2025-08-15 10:40:32.614,3.20,9.50,93.00,61.93,225.24
2025-08-15 10:40:33.617,3.30,9.50,92.00,61.93,177.34
2025-08-15 10:40:34.619,3.20,9.50,93.00,61.93,235.57
2025-08-15 10:40:35.622,3.30,9.50,93.00,61.93,222.48
2025-08-15 10:40:36.625,3.20,9.50,93.00,61.93,220.89
2025-08-15 10:40:37.628,3.20,9.50,89.00,61.93,220.18
2025-08-15 10:40:38.636,3.20,9.50,89.00,61.93,212.80
2025-08-15 10:40:39.639,3.10,9.50,93.00,61.93,225.85
2025-08-15 10:40:40.642,3.20,9.50,89.00,61.93,219.27
2025-08-15 10:40:41.644,3.20,9.50,92.00,61.93,187.23
2025-08-15 10:40:42.647,3.20,9.50,89.00,61.93,219.58
2025-08-15 10:40:43.650,3.20,9.50,93.00,61.93,187.84
2025-08-15 10:40:44.653,3.20,9.50,89.00,61.93,216.64
2025-08-15 10:40:45.656,3.20,9.50,93.00,61.93,220.99
2025-08-15 10:40:46.658,3.20,9.50,93.00,61.93,218.68
2025-08-15 10:40:47.661,3.20,9.50,92.00,61.93,218.30
2025-08-15 10:40:48.670,3.90,9.50,100.00,61.93,224.62
2025-08-15 10:40:49.682,4.30,9.50,100.00,61.95,209.44
2025-08-15 10:40:50.685,4.00,9.50,93.00,61.97,267.13
2025-08-15 10:40:51.701,3.80,9.50,93.00,61.97,199.90
2025-08-15 10:40:52.706,3.20,9.50,96.00,61.97,189.01
2025-08-15 10:40:53.709,3.20,9.50,93.00,61.97,200.07
2025-08-15 10:40:54.712,3.90,9.50,100.00,61.97,254.88
2025-08-15 10:40:55.715,4.10,9.50,100.00,61.97,243.00
2025-08-15 10:40:56.721,3.70,9.50,100.00,61.97,228.88
2025-08-15 10:40:57.723,3.60,9.50,100.00,61.97,251.84
2025-08-15 10:40:58.728,3.60,9.50,96.00,61.97,196.93
